player_name,team,age,cap_hit,years_remaining
Beck Malenstyn,BUF,28,1350000,1
Sam Carrick,BUF,34,1000000,2
Tanner Pearson,BUF,33,1000000,1
Zach Benson,BUF,20,950000,1
Josh Doan,BUF,24,925000,1
Jiri Kulich,BUF,21,886667,2
Noah Ostlund,BUF,22,886667,2
Tyson Kozak,BUF,23,775000,3
Josh Dunne,BUF,27,775000,1
Rasmus Dahlin,BUF,25,11000000,7
Owen Power,BUF,23,8350000,6
Bowen Byram,BUF,24,6250000,2
Mattias Samuelsson,BUF,26,4285714,5
Conor Timmins,BUF,27,2200000,2
Michael Kesselring,BUF,26,1400000,1
Luke Schenn,BUF,36,1375000,1
Logan Stanley,BUF,27,1250000,1
Nikita Novikov,BUF,22,867500,1
Zach Metsa,BUF,27,775000,1
Ukko-Pekka Luukkonen,BUF,27,4750000,4
Alex Lyon,BUF,33,1500000,2
Colten Ellis,BUF,25,775000,2
Tyler Kopff,BUF,22,975000,2
Konsta Helenius,BUF,19,942500,3
Riley Fiddler-Schultz,BUF,23,865000,2
Olivier Nadeau,BUF,23,836667,1
Anton Wahlberg,BUF,20,833333,3
Jake Leschyshyn,BUF,27,775000,1
Carson Meyer,BUF,28,775000,2
Mason Geertsen,BUF,30,775000,2
Trevor Kuntar,BUF,24,775000,1
Radim Mrtka,BUF,18,975000,3
Zac Jones,BUF,25,900000,1
Isaac Belliveau,BUF,23,875000,1
Vsevolod Komarov,BUF,22,835000,2
Jack Rathbone,BUF,26,800000,2
Ryan Johnson,BUF,24,775000,3
Gavin Bayreuther,BUF,31,775000,1
Gavin McCarthy,BUF,20,990833,3
Maxim Strbak,BUF,20,1028333,3
Topias Leinonen,BUF,22,886667,3
Scott Ratzlaff,BUF,21,835000,3
Devon Levi,BUF,24,812500,2
Simon-pier Brunet,BUF,20,,
Patrick Geary,BUF,22,,
Vasily Glotov,BUF,28,,
Gustav Karlsson,BUF,22,,
Sean Keohane,BUF,21,,
Adam Kleber,BUF,20,,
Ryerson Leenders,BUF,19,,
Luke Osburn,BUF,19,,
Norwin Panocha,BUF,21,,
Prokhor Poltapov,BUF,23,,
Joel Ratkovic Berndtsson,BUF,22,,
Jake Richard,BUF,21,,
Stiven Sardarian,BUF,23,,
Vasily Zelenov,BUF,20,,
Brodie Ziemer,BUF,20,,
David Bedkowski,BUF,19,,
Matous Kucharcik,BUF,19,,
Samuel Meloche,BUF,18,,
Noah Laberge,BUF,19,,
Ashton Schultz,BUF,19,,
Melvin Novotny,BUF,19,,
Yevgeni Prokhorov,BUF,19,,
Ryan Rucinski,BUF,19,,
Jonathan Huberdeau,CGY,32,10500000,6
Matt Coronato,CGY,23,6500000,7
Yegor Sharangovich,CGY,27,5750000,5
Joel Farabee,CGY,26,5000000,3
Ryan Strome,CGY,32,5000000,2
Blake Coleman,CGY,34,4900000,2
Mikael Backlund,CGY,37,4500000,1
Morgan Frost,CGY,26,4375000,2
Connor Zary,CGY,24,3775000,3
Ryan Lomberg,CGY,31,2000000,1
Victor Olofsson,CGY,30,1575000,1
Adam Klapka,CGY,25,1250000,2
Martin Pospisil,CGY,26,1000000,1
Matvei Gridin,CGY,20,942500,3
Aydar Suniev,CGY,21,923333,2
John Beecher,CGY,25,900000,1
Samuel Honzek,CGY,21,886667,3
Kevin Bahl,CGY,25,5350000,6
Olli Maatta,CGY,31,3500000,3
Zach Whitecloud,CGY,29,2750000,3
Jake Bean,CGY,27,1750000,1
Joel Hanley,CGY,34,1750000,2
Brayden Pachal,CGY,26,1187500,2
Hunter Brzustewicz,CGY,21,950000,2
Zayne Parekh,CGY,20,942500,3
Yan Kuznetsov,CGY,24,812500,2
Dustin Wolf,CGY,24,850000,1
Devin Cooley,CGY,28,775000,1
Tyson Gross,CGY,23,975000,2
William Stromgren,CGY,22,900833,1
Justin Kirkland,CGY,29,900000,1
Carter King,CGY,24,872500,1
Andrew Basha,CGY,20,865000,3
Brennan Othmann,CGY,23,863333,1
Parker Bell,CGY,22,857500,1
Lucas Ciona,CGY,23,830000,1
Dryden Hunt,CGY,30,825000,2
Clark Bishop,CGY,30,775000,1
Rory Kerins,CGY,23,775000,1
Sam Morton,CGY,26,775000,1
Jonathan Castagna,CGY,20,1075000,3
Etienne Morin,CGY,21,871667,3
Gavin White,CGY,23,857500,1
Artem Grushnikov,CGY,23,814167,1
Nick Cicek,CGY,25,775000,1
Daniil Miromanov,CGY,28,1250000,1
Axel Hurtig,CGY,20,990000,3
Ivan Prosvetov,CGY,27,950000,1
Owen Say,CGY,24,872500,1
Arsenii Sergeev,CGY,23,866250,2
Daniil Chechelev,CGY,25,,
Trevor Hoskin,CGY,21,,
Eric Jamieson,CGY,20,,
