player_name,team,age,cap_hit,years_remaining
Owen Michaels,EDM,23,975000,1
Isaac Howard,EDM,22,950000,3
Quinn Hutson,EDM,24,875000,1
Viljami Marjala,EDM,23,872500,2
James Stefan,EDM,22,870000,2
Josh Bloom,EDM,22,836667,1
Connor Clattenburg,EDM,20,828333,3
Brady Stonehouse,EDM,21,821667,2
Matvey Petrov,EDM,23,803333,1
Sam Poulin,EDM,25,775000,1
James Hamblin,EDM,26,775000,1
Roby Jarventie,EDM,23,775000,1
William Nicholl,EDM,19,968333,3
Josh Brown,EDM,32,1000000,2
Atro Leppanen,EDM,27,975000,1
Damien Carfagna,EDM,23,862500,2
Beau Akey,EDM,21,831667,3
Cam Dineen,EDM,27,775000,1
Riley Stillman,EDM,28,775000,2
Alec Regula,EDM,25,775000,2
Calvin Pickard,EDM,33,1000000,1
Connor Ungar,EDM,24,860000,1
Nathaniel Day,EDM,21,856667,3
Samuel Jonsson,EDM,22,855000,3
Matt Tomkins,EDM,31,775000,2
Maksim Berezkin,EDM,24,,
Bauer Berry,EDM,20,,
Maxim Denezhkin,EDM,25,,
Albin Sundin,EDM,21,,
Ty Taylor,EDM,26,,
Eemil Vinni,EDM,20,,
Dalyn Wakely,EDM,22,,
Nikita Yevseyev,EDM,21,,
Paul Fischer,EDM,21,,
Petr Hauser,EDM,22,,
Tommy Lafreniere,EDM,19,,
David Lewandowski,EDM,19,,
Asher Barnett,EDM,18,,
Daniel Salonen,EDM,20,,
Aidan Park,EDM,20,,
Matthew Tkachuk,FLA,28,9500000,5
Sam Reinhart,FLA,30,8625000,7
Sam Bennett,FLA,29,8000000,8
Carter Verhaeghe,FLA,30,7000000,8
Anton Lundell,FLA,24,5000000,5
Evan Rodrigues,FLA,32,3000000,2
Eetu Luostarinen,FLA,27,3000000,2
Jesper Boqvist,FLA,27,1500000,2
A.J. Greer,FLA,29,850000,1
Cole Schwindt,FLA,24,825000,1
Cole Reinhardt,FLA,26,812500,2
Mackie Samoskevich,FLA,23,775000,1
Tomas Nosek,FLA,33,775000,1
Vinnie Hinostroza,FLA,32,775000,1
Luke Kunin,FLA,28,775000,1
Nolan Foote,FLA,25,775000,1
Noah Gregor,FLA,27,775000,1
Seth Jones,FLA,31,7000000,5
Aaron Ekblad,FLA,30,6100000,8
Gustav Forsling,FLA,29,5750000,7
Dmitry Kulikov,FLA,35,1150000,3
Mikulas Hovorka,FLA,24,950000,1
Ludvig Jansson,FLA,22,855000,3
Uvis Balinskis,FLA,29,850000,1
Donovan Sebrango,FLA,24,775000,1
Mike Benning,FLA,24,775000,1
Tobias Bjornfot,FLA,25,775000,1
Sergei Bobrovsky,FLA,37,10000000,1
Daniil Tarasov,FLA,27,1050000,1
Aleksander Barkov,FLA,30,10000000,5
Brad Marchand,FLA,37,5250000,6
Niko Mikkola,FLA,29,2500000,1
Jonah Gadjovich,FLA,27,775000,1
Ben Steeves,FLA,23,950000,1
Jack Devine,FLA,22,950000,3
Sandis Vilmanis,FLA,22,855000,2
Gracyn Sawchyn,FLA,21,846667,3
Hunter St. Martin,FLA,20,828333,3
Kai Schwindt,FLA,22,798333,2
MacKenzie Entwistle,FLA,26,775000,2
Wilmer Skoog,FLA,26,775000,1
Jack Studnicka,FLA,27,775000,1
Oliver Okuliar,FLA,25,870000,
Marek Alscher,FLA,22,865000,2
Evan Nause,FLA,23,864167,1
Cooper Black,FLA,24,950000,1
Kirill Gerasimyuk,FLA,22,875000,2
Louis Domingue,FLA,34,775000,1
Tyler Muszelik,FLA,21,960000,2
Linus Eriksson,FLA,20,,
Denis Gabdrakhmanov,FLA,20,,
Olof Glifford,FLA,21,,
Stepan Gorbunov,FLA,19,,
Vladislav Lukashevich,FLA,22,,
Matvei Shuravin,FLA,20,,
Albert Wikman,FLA,21,,
Simon Zether,FLA,20,,
Stepan Zvyagin,FLA,21,,
Mads Kongsbak Klyvø,FLA,18,,
Shea Busch,FLA,18,,
Shamar Moses,FLA,18,,
Arvid Drott,FLA,18,,
Brendan Dunphy,FLA,20,,
Yegor Midlak,FLA,19,,
Kevin Fiala,LAK,29,7875000,4
Anze Kopitar,LAK,38,7000000,1
Quinton Byfield,LAK,23,6250000,4
Artemi Panarin,LAK,34,5821429,1
Adrian Kempe,LAK,29,5500000,1
Andrei Kuzmenko,LAK,30,4300000,1
Trevor Moore,LAK,31,4200000,3
Alex Laferriere,LAK,24,4100000,3
Joel Armia,LAK,32,2500000,2
Scott Laughton,LAK,31,3000000,1
Mathieu Joseph,LAK,29,900000,1
Jared Wright,LAK,23,867500,2
Samuel Helenius,LAK,23,805833,1
Alex Turcotte,LAK,25,775000,2
Jeff Malott,LAK,29,775000,1
Taylor Ward,LAK,28,775000,1
Drew Doughty,LAK,36,11000000,2
Cody Ceci,LAK,32,4500000,4
Mikey Anderson,LAK,26,4125000,6
Brian Dumoulin,LAK,34,4000000,3
Joel Edmundson,LAK,32,3850000,3
Brandt Clarke,LAK,23,863333,1
Jacob Moverare,LAK,27,775000,1
Darcy Kuemper,LAK,35,5250000,2
Anton Forsberg,LAK,33,2250000,2
Vojtech Cihar,LAK,19,975000,3
Jimmy Lombardi,LAK,19,923333,3
Kenny Connors,LAK,23,867500,2
Aatu Jamsen,LAK,23,852500,1
Kaleb Lawrence,LAK,23,852500,2
Francesco Pinelli,LAK,22,845000,1
Koehn Ziemmer,LAK,21,816667,3
Glenn Gawdin,LAK,29,775000,1
Logan Brown,LAK,28,775000,1
Martin Chromiak,LAK,23,775000,1
Nikita Alexandrov,LAK,25,775000,1
Cole Guttman,LAK,27,775000,2
Andre Lee,LAK,25,775000,2
Jan Jenik,LAK,25,775000,1
Grant Slukynsky,LAK,24,975000,1
Kyle Burroughs,LAK,30,1100000,1
Kirill Kirsanov,LAK,23,925000,2
Jared Woolley,LAK,20,875000,3
Otto Salin,LAK,22,875000,3
Jakub Dvorak,LAK,20,840000,3
Angus Booth,LAK,21,826667,2
Joe Hicketts,LAK,29,775000,2
Henry Brzustewicz,LAK,19,1075000,3
Carter George,LAK,19,845833,3
Erik Portillo,LAK,25,783333,2
Pheonix Copley,LAK,34,775000,1
Hampton Slukynsky,LAK,20,975000,3
Ryan Conmy,LAK,21,,
James Reeder,LAK,20,,
Bulat Shafigullin,LAK,26,,
Jack Sparkes,LAK,22,,
Kristian Epperson,LAK,19,,
Caeden Herrington,LAK,20,,
Petteri Rimpinen,LAK,19,,
Jan Chovan,LAK,19,,
Brendan McMorrow,LAK,20,,
Will Sharpe,LAK,19,,
Kirill Kaprizov,MIN,28,9000000,1
Matt Boldy,MIN,25,7000000,5
Joel Eriksson Ek,MIN,29,5250000,4
Vladimir Tarasenko,MIN,34,4750000,1
Nick Foligno,MIN,38,4500000,1
Mats Zuccarello,MIN,38,4125000,1
Marcus Foligno,MIN,34,4000000,3
Ryan Hartman,MIN,31,4000000,2
Yakov Trenin,MIN,29,3500000,3
Nico Sturm,MIN,30,2000000,2
Bobby Brink,MIN,24,1500000,1
Danila Yurov,MIN,22,950000,3
Michael McCarron,MIN,31,900000,1
Marcus Johansson,MIN,35,800000,1
Robby Fabbri,MIN,30,775000,1
Brock Faber,MIN,23,8500000,8
Quinn Hughes,MIN,26,7850000,2
Jared Spurgeon,MIN,36,7575000,2
Jonas Brodin,MIN,32,6000000,3
Jake Middleton,MIN,30,4350000,4
Zach Bogosian,MIN,35,1250000,1
Daemon Hunt,MIN,23,775000,1
Jeff Petry,MIN,38,775000,1
Filip Gustavsson,MIN,27,3750000,1
Jesper Wallstedt,MIN,23,2200000,2
Riley Heidt,MIN,21,918333,3
Caedan Bankier,MIN,23,867500,1
Rasmus Kumpulainen,MIN,20,865833,3
Hunter Haight,MIN,22,865833,2
Oskar Olausson,MIN,23,863333,1
Cameron Butler,MIN,23,858333,1
Bradley Marek,MIN,25,790000,1
Nicolas Aube-Kubel,MIN,29,775000,1
Tyler Pitlick,MIN,34,775000,2
Ben Jones,MIN,27,775000,1
Charlie Stramel,MIN,21,1075000,3
Jack Peart,MIN,22,925000,2
Carson Lambos,MIN,23,863333,1
David Spacek,MIN,23,862500,1
Stevie Leskovar,MIN,21,860000,3
Roman Schmidt,MIN,23,805833,1
Ben Gleason,MIN,28,800000,1
Matt Kiersted,MIN,27,775000,2
Chase Wutzke,MIN,19,962500,3
Samuel Hlavaj,MIN,24,875000,1
Riley Mercer,MIN,22,819167,3
Cal Petersen,MIN,31,775000,1
Nate Benoit,MIN,23,,
James Clark,MIN,21,,
Matvey Guskov,MIN,25,,
Ryan Healey,MIN,21,,
Aron Kiviharju,MIN,20,,
Rieger Lorenz,MIN,22,,
Aaron Pionk,MIN,23,,
Ryder Ritchie,MIN,19,,
Sebastian Soini,MIN,19,,
Theodor Hallquisth,MIN,18,,
Adam Benak,MIN,18,,
Lirim Amidovski,MIN,19,,
Carter Klippenstein,MIN,19,,
Justin Kipkie,MIN,20,,
Patrik Laine,MTL,27,8700000,1
Nick Suzuki,MTL,26,7875000,5
Cole Caufield,MTL,25,7850000,6
Juraj Slafkovsky,MTL,22,7600000,8
Brendan Gallagher,MTL,33,6500000,2
Josh Anderson,MTL,31,5500000,2
Phillip Danault,MTL,33,5500000,2
Kirby Dach,MTL,25,3362500,1
Alex Newhook,MTL,25,2900000,2
Jake Evans,MTL,29,2850000,4
Alexandre Texier,MTL,26,1000000,1
Ivan Demidov,MTL,20,940833,2
Oliver Kapanen,MTL,22,925000,2
Joe Veleno,MTL,26,900000,1
Zack Bolduc,MTL,23,863333,1
Noah Dobson,MTL,26,9500000,8
Kaiden Guhle,MTL,24,5550000,6
Mike Matheson,MTL,32,4875000,1
Alexandre Carrier,MTL,29,3750000,2
Jayden Struble,MTL,24,1412500,2
Arber Xhekaj,MTL,25,1300000,1
Lane Hutson,MTL,22,950000,1
Adam Engstrom,MTL,22,896667,2
Sam Montembeault,MTL,29,3150000,2
Jakub Dobes,MTL,24,965000,2
Jacob Fowler,MTL,21,923333,3
Vinzenz Rohrer,MTL,21,950000,3
Luke Tuch,MTL,24,912500,1
Filip Mesar,MTL,22,886667,2
Tyler Thorpe,MTL,20,868333,3
Florian Xhekaj,MTL,21,866667,2
Jared Davidson,MTL,23,862500,1
Owen Beck,MTL,22,853333,2
Jake Chiasson,MTL,22,843333,1
Joshua Roy,MTL,22,835000,1
Alex Belzile,MTL,34,775000,1
Lucas Condotta,MTL,28,775000,2
Sean Farrell,MTL,24,775000,1
Sammy Blais,MTL,29,775000,1
Bryce Pickford,MTL,20,940833,3
David Reinbacher,MTL,21,886667,3
Gannon Laroque,MTL,22,836667,1
Nate Clurman,MTL,27,775000,1
William Trudeau,MTL,23,775000,1
Marc Del Gaizo,MTL,26,775000,1
Luke Mittelstadt,MTL,23,1013750,2
Owen Protz,MTL,20,975000,3
Kaapo Kahkonen,MTL,29,1150000,1
Hunter Shepard,MTL,30,775000,1
Rasmus Bergqvist,MTL,20,,
Emmett Croteau,MTL,22,,
Filip Eriksson,MTL,21,,
Alexander Gordin,MTL,24,,
Michael Hage,MTL,19,,
Sam Harris,MTL,22,,
Makar Khanin,MTL,21,,
Aatos Koivu,MTL,19,,
Bogdan Konyushkov,MTL,23,,
Dmitri Kostenko,MTL,23,,
Ben Merrill,MTL,20,,
Quentin Miller,MTL,21,,
Logan Sawyer,MTL,19,,
Jack Smith,MTL,23,,
Daniil Sobolev,MTL,23,,
Mikus Vecvanags,MTL,20,,
Yevgeni Volokhin,MTL,21,,
Alexander Zharovsky,MTL,19,,
Hayden Paupanekis,MTL,19,,
Arseni Radkov,MTL,18,,
L.J. Mooney,MTL,19,,
Alexis Cournoyer,MTL,20,,
Carlos Handel,MTL,19,,
Andrew MacNiel,MTL,18,,
Maxon Vig,MTL,20,,
Filip Forsberg,NSH,31,8500000,5
Steven Stamkos,NSH,36,8000000,3
Jonathan Marchessault,NSH,35,5500000,4
Ryan O'Reilly,NSH,35,4500000,2
Erik Haula,NSH,35,3150000,1
Luke Evangelista,NSH,24,3000000,2
Matthew Wood,NSH,21,950000,2
Fedor Svechkov,NSH,23,925000,1
Reid Schaefer,NSH,22,886667,2
Joakim Kemell,NSH,21,886667,2
Zachary L'Heureux,NSH,22,863333,1
Tyson Jost,NSH,28,775000,1
Ozzy Wiesblatt,NSH,24,775000,2
Roman Josi,NSH,35,9059000,3
Brady Skjei,NSH,32,7000000,6
Nicolas Hague,NSH,27,5500000,4
Nick Perbix,NSH,27,2750000,2
Justin Barron,NSH,24,1150000,1
Ryan Ufko,NSH,22,925000,2
Adam Wilsby,NSH,25,775000,2
Jordan Oesterle,NSH,33,775000,1
Juuse Saros,NSH,30,7740000,8
Justus Annunen,NSH,26,837500,1
Brady Martin,NSH,19,975000,3
Dalton Bancroft,NSH,25,950000,1
Massimo Rizzo,NSH,24,925000,1
Ryder Rolston,NSH,24,895000,1
David Edstrom,NSH,21,886667,3
Joey Willis,NSH,21,860000,3
Cole O'Hara,NSH,23,860000,2
Austin Roest,NSH,22,845000,2
Hiroki Gojsic,NSH,19,835000,3
Kalan Lind,NSH,21,806667,3
Jacob Lucchini,NSH,30,775000,1
Tanner Molendyk,NSH,21,886667,3
Christoffer Sedoff,NSH,24,870000,1
Andrew Gibson,NSH,21,865000,3
Jack Matier,NSH,23,801667,1
Kevin Gravel,NSH,34,775000,1
Andreas Englund,NSH,30,775000,1
Viggo Gustafsson,NSH,19,975000,3
Magnus Chrona,NSH,25,855000,1
Matt Murray,NSH,28,775000,2
Semyon Chystyakov,NSH,24,,
Aiden Fink,NSH,21,,
Adam Ingram,NSH,22,,
Kasper Kulonummi,NSH,22,,
Miguel Marques,NSH,20,,
Jakub Milota,NSH,19,,
Sutter Muzzatti,NSH,22,,
Felix Nilsson,NSH,20,,
Viktor Norringer,NSH,19,,
Erik Pahlsson,NSH,21,,
Teddy Stiga,NSH,20,,
Ben Strinden,NSH,23,,
Egor Surin,NSH,19,,
Konstantin Volkov,NSH,28,,
Cameron Reid,NSH,19,,
Ryker Lee,NSH,19,,
Jacob Rombach,NSH,19,,
Jack Ivankovic,NSH,18,,
Alex Huang,NSH,18,,
Daniel Nieminen,NSH,20,,
Timo Meier,NJD,29,8800000,6
Jack Hughes,NJD,24,8000000,5
Jesper Bratt,NJD,27,7875000,6
Nico Hischier,NJD,27,7250000,2
Dawson Mercer,NJD,24,4000000,2
Connor Brown,NJD,32,3000000,4
Cody Glass,NJD,27,2500000,2
Maxim Tsyplakov,NJD,27,2250000,2
Nick Bjugstad,NJD,33,1750000,2
Evgenii Dadonov,NJD,37,1000000,1
Lenni Hameenaho,NJD,21,950000,3
Arseni Gritsyuk,NJD,25,925000,1
Paul Cotter,NJD,26,775000,1
Marc McLaughlin,NJD,26,775000,1
Brian Halonen,NJD,27,775000,1
Dougie Hamilton,NJD,32,9000000,3
Luke Hughes,NJD,22,9000000,7
Brett Pesce,NJD,31,5500000,5
Brenden Dillon,NJD,35,4000000,2
Johnathan Kovacevic,NJD,28,4000000,5
Jonas Siegenthaler,NJD,28,3400000,3
Simon Nemec,NJD,22,918333,1
Dennis Cholowski,NJD,28,775000,1
Jacob Markstrom,NJD,36,4125000,1
Jake Allen,NJD,35,1800000,5
Stefan Noesen,NJD,33,2750000,2
Zack MacEwen,NJD,29,775000,1
Shane Lachance,NJD,22,925000,2
Dylan Wendt,NJD,25,870000,1
Cam Squires,NJD,20,838333,3
Josh Filmon,NJD,22,838333,2
Ryan Schmelzer,NJD,32,775000,1
Jonathan Gruden,NJD,25,775000,1
Mike Hardman,NJD,27,775000,1
Xavier Parent,NJD,25,775000,1
Nathan Legare,NJD,25,775000,1
Angus Crookshank,NJD,26,775000,2
Matyas Melovsky,NJD,21,972500,2
Mikael Diotte,NJD,22,950000,2
Seamus Casey,NJD,22,950000,2
Ethan Edwards,NJD,23,925000,2
Jeremy Hanzel,NJD,23,851667,2
Topias Vilen,NJD,23,836667,1
Calen Addison,NJD,25,775000,1
Colton White,NJD,28,775000,1
Tyler Brennan,NJD,22,870000,1
Jakub Malek,NJD,23,867500,1
Nico Daws,NJD,25,812500,1
Artem Barabosha,NJD,22,,
Chase Cheslock,NJD,21,,
Viktor Hurtig,NJD,23,,
Daniil Karpovich,NJD,21,,
Charlie Leddy,NJD,22,,
Veeti Louhivaara,NJD,20,,
Daniil Orlov,NJD,22,,
Kasper Pikkarainen,NJD,19,,
Nikita Popugaev,NJD,27,,
Samu Salminen,NJD,22,,
Anton Silayev,NJD,19,,
Mikhail Yegorov,NJD,20,,
Yegor Zaitsev,NJD,27,,
Conrad Fondrk,NJD,18,,
Benjamin Kevan,NJD,19,,
Mason Moe,NJD,19,,
Trenten Bennett,NJD,20,,
Gustav Hillström,NJD,19,,
David Rozsíval,NJD,18,,
Sigge Holmgren,NJD,19,,
Mathew Barzal,NYI,28,9150000,6
Bo Horvat,NYI,31,8500000,6
Anders Lee,NYI,35,7000000,1
Brayden Schenn,NYI,34,6500000,3
Ondrej Palat,NYI,35,6000000,2
Jean-Gabriel Pageau,NYI,33,5000000,1
Simon Holmstrom,NYI,24,3625000,2
Anthony Duclair,NYI,30,3500000,3
Casey Cizikas,NYI,35,2500000,2
Emil Heineman,NYI,24,1100000,2
Maxim Shabanov,NYI,25,975000,1
Calum Ritchie,NYI,21,918333,3
Marc Gatcomb,NYI,26,900000,1
Kyle MacLean,NYI,26,775000,2
Ryan Pulock,NYI,31,6150000,5
Adam Pelech,NYI,31,5750000,4
Scott Mayfield,NYI,33,3500000,5
Carson Soucy,NYI,31,3250000,1
Tony DeAngelo,NYI,30,1750000,1
Matthew Schaefer,NYI,18,975000,3
Adam Boqvist,NYI,25,850000,1
Isaiah George,NYI,22,838333,2
Ilya Sorokin,NYI,30,8250000,7
David Rittich,NYI,33,1000000,1
Kyle Palmieri,NYI,35,4750000,2
Alexander Romanov,NYI,26,6250000,8
Pierre Engvall,NYI,29,3000000,5
Semyon Varlamov,NYI,37,2750000,2
Victor Eklund,NYI,19,975000,3
Daniil Prokhorov,NYI,18,915000,3
Gleb Veremyev,NYI,22,885000,2
Matthew Maggio,NYI,23,870000,1
Camden Thiesing,NYI,25,870000,1
Alex Jefferies,NYI,24,867500,1
Eetu Liukas,NYI,23,867500,1
Daylan Kuefler,NYI,24,840000,1
Jesse Nurmi,NYI,21,838333,3
Joey Larson,NYI,25,823750,1
Adam Beckman,NYI,24,775000,1
Liam Foudy,NYI,26,775000,1
Matthew Highmore,NYI,30,775000,1
Matt Luff,NYI,28,775000,1
Cole Eiserman,NYI,19,1075000,3
Jesse Pulkkinen,NYI,21,880833,2
Marshall Warren,NYI,24,825000,1
Calle Odelius,NYI,21,815000,2
Travis Mitchell,NYI,26,775000,1
Ethan Bear,NYI,28,775000,1
Cole McWard,NYI,24,775000,1
Kashawn Aitcheson,NYI,19,1075000,3
Tristan Lennox,NYI,23,867500,1
Henrik Tikkanen,NYI,25,823750,1
Marcus Hogberg,NYI,31,775000,1
Joshua Kotai,NYI,23,965000,2
Kamil Bednarik,NYI,19,,
Quinn Finley,NYI,21,,
Dmitry Gamzin,NYI,23,,
Dennis Good Bogg,NYI,22,,
Tomas Machu,NYI,23,,
Danny Nelson,NYI,20,,
Zachary Schulz,NYI,20,,
Xavier Veilleux,NYI,20,,
Luca Romano,NYI,18,,
Tomas Poletin,NYI,18,,
Sam Laurila,NYI,19,,
Burke Hood,NYI,18,,
Jacob Kvasnicka,NYI,18,,
Mika Zibanejad,NYR,32,8500000,5
J.T. Miller,NYR,33,8000000,5
Alexis Lafrenière,NYR,24,7450000,7
Vincent Trocheck,NYR,32,5625000,4
Will Cuylle,NYR,24,3900000,2
Taylor Raddysh,NYR,28,1500000,2
Tye Kartye,NYR,24,1250000,2
Matt Rempe,NYR,23,975000,2
Adam Edstrom,NYR,25,975000,2
Gabe Perreault,NYR,20,941667,2
Noah Laba,NYR,22,870000,2
Jaroslav Chmelar,NYR,22,867500,2
Adam Sykora,NYR,21,806667,2
Jonny Brodzinski,NYR,32,787500,1
Conor Sheary,NYR,33,775000,1
Adam Fox,NYR,28,9500000,4
Vladislav Gavrikov,NYR,30,7000000,7
Will Borgen,NYR,29,4100000,5
Braden Schneider,NYR,24,2200000,1
Urho Vaakanainen,NYR,27,1550000,2
Vincent Iorio,NYR,23,814167,1
Matthew Robertson,NYR,25,775000,2
Igor Shesterkin,NYR,30,11500000,8
Jonathan Quick,NYR,40,1550000,1
Dylan Garand,NYR,23,775000,1
Liam Greentree,NYR,20,942500,3
Jacob Battaglia,NYR,20,931667,3
Nathan Aspinall,NYR,20,925000,3
Aidan Thompson,NYR,24,895000,2
Carey Terrance,NYR,20,886667,3
Brett Berard,NYR,23,867500,1
Kalle Vaisanen,NYR,23,863333,2
Dylan Roobroeck,NYR,21,850000,2
Bryce McConnell-Barker,NYR,21,838333,2
Trey Fix-Wolansky,NYR,26,775000,1
Justin Dowling,NYR,35,775000,2
Anton Blidh,NYR,31,775000,2
Brendan Brisson,NYR,24,775000,1
Juuso Parssinen,NYR,25,1250000,2
Brody Lamb,NYR,22,980000,2
Drew Fortescue,NYR,20,923333,3
Scott Morrow,NYR,23,916667,1
Jackson Dorrington,NYR,21,851667,3
Casey Fitzgerald,NYR,29,775000,1
Brandon Scanlin,NYR,26,775000,1
Connor Mackey,NYR,29,775000,1
Callum Tung,NYR,22,872500,3
Hugo Ollas,NYR,23,855000,1
Talyn Boyko,NYR,23,775000,1
Spencer Martin,NYR,30,775000,2
Raoul Boilard,NYR,20,,
EJ Emery,NYR,20,,
Rico Gredig,NYR,21,,
Ty Henricks,NYR,20,,
Rasmus Larsson,NYR,22,,
Lauri Pajuniemi,NYR,26,,
Malcolm Spence,NYR,19,,
Sean Barnhill,NYR,19,,
Artyom Gonchar,NYR,19,,
Mikkel Eriksen,NYR,18,,
Zeb Lindgren,NYR,18,,
Samuel Jung,NYR,19,,
Evan Passmore,NYR,19,,
Felix Färhammar,NYR,18,,
Tim Stützle,OTT,24,8350000,6
Brady Tkachuk,OTT,26,8205714,3
Dylan Cozens,OTT,25,7100000,5
Drake Batherson,OTT,27,4975000,2
Fabian Zetterlund,OTT,26,4275000,3
Shane Pinto,OTT,25,3750000,1
Warren Foegele,OTT,30,3500000,2
Ridly Greig,OTT,23,3250000,4
Michael Amadio,OTT,29,2600000,2
Claude Giroux,OTT,38,2000000,1
Lars Eller,OTT,36,1250000,1
Kurtis MacDermid,OTT,32,1150000,2
Stephen Halliday,OTT,23,950000,1
Nick Cousins,OTT,32,825000,1
Jake Sanderson,OTT,23,8050000,7
Thomas Chabot,OTT,29,8000000,3
Artem Zub,OTT,30,4600000,2
Nick Jensen,OTT,35,4050000,1
Tyler Kleven,OTT,24,1600000,2
Jordan Spence,OTT,25,1500000,1
Nikolas Matinpalo,OTT,27,875000,2
Dennis Gilbert,OTT,29,875000,1
Cameron Crotty,OTT,26,812500,2
Lassi Thomson,OTT,25,775000,1
Linus Ullmark,OTT,32,8250000,4
James Reimer,OTT,38,850000,1
Lucas Ellinas,OTT,20,875000,3
Tyler Boucher,OTT,23,863333,1
Riley Kidney,OTT,23,836667,1
Oskar Pettersson,OTT,22,835000,2
Garrett Pilon,OTT,27,775000,1
Hayden Hodgson,OTT,30,775000,2
Olle Lycksell,OTT,26,775000,1
Xavier Bourgault,OTT,23,775000,1
Arthur Kaliyev,OTT,24,775000,1
Graeme Clarke,OTT,24,775000,1
Carter Yakemchuk,OTT,20,942500,3
Matthew Andonovski,OTT,21,836667,3
Djibril Toure,OTT,22,805000,1
Tomas Hamara,OTT,22,803333,2
Jorian Donovan,OTT,22,796667,2
Samuel Bolduc,OTT,25,775000,1
Gabriel Eliasson,OTT,19,1007500,3
Hoyt Stanley,OTT,21,1075000,3
Leevi Merilainen,OTT,23,1050000,1
Jackson Parsons,OTT,21,829167,3
Mads Sogaard,OTT,25,775000,1
Kevin Reidler,OTT,21,946250,2
Owen Beckner,OTT,21,,
Tyson Dyck,OTT,22,,
Blake Montgomery,OTT,20,,
Javon Moore,OTT,20,,
Vladimir Nikitin,OTT,21,,
Filip Nordberg,OTT,22,,
Cameron O'Neill,OTT,22,,
Nicholas Vantassell,OTT,21,,
Theo Wallberg,OTT,22,,
Eerik Wallenius,OTT,20,,
Alex Formenton,OTT,26,,
Logan Hensler,OTT,19,,
Blake Vanek,OTT,18,,
Lucas Beckman,OTT,18,,
Dmitri Isayev,OTT,18,,
Bruno Idzan,OTT,20,,
Andrei Trofimov,OTT,19,,
Travis Konecny,PHI,29,8750000,8
Sean Couturier,PHI,33,7750000,5
Owen Tippett,PHI,27,6200000,7
Trevor Zegras,PHI,25,5750000,1
Christian Dvorak,PHI,30,5400000,1
Noah Cates,PHI,27,4000000,4
Tyson Foerster,PHI,24,3750000,2
Garnet Hathaway,PHI,34,2400000,2
Carl Grundstrom,PHI,28,1800000,1
Matvei Michkov,PHI,21,950000,2
Alex Bump,PHI,22,950000,3
Denver Barkey,PHI,20,881667,3
Nikita Grebenkin,PHI,22,875000,1
Rodrigo Abols,PHI,30,800000,1
Luke Glendening,PHI,36,775000,1
Garrett Wilson,PHI,35,775000,1
Travis Sanheim,PHI,30,6250000,6
Cam York,PHI,25,5150000,5
Rasmus Ristolainen,PHI,31,5100000,2
Nick Seeler,PHI,32,2700000,3
Jamie Drysdale,PHI,24,2300000,1
Emil Andrae,PHI,24,903333,1
Noah Juulsen,PHI,29,900000,1
Dan Vladar,PHI,28,3350000,2
Samuel Ersson,PHI,26,1450000,1
Karsen Dorwart,PHI,23,975000,1
Porter Martone,PHI,19,966667,3
Jett Luchanko,PHI,19,942500,3
Devin Kaplan,PHI,22,921667,2
Jacob Gaucher,PHI,25,872500,1
Tucker Robertson,PHI,22,870000,1
Brett Harrison,PHI,22,836667,1
Oscar Eklind,PHI,27,800000,1
Anthony Richard,PHI,29,775000,1
Lane Pederson,PHI,28,775000,1
Boris Katchouk,PHI,27,775000,1
Philip Tomasino,PHI,24,1750000,1
Noah Powell,PHI,21,985000,3
Cole Knuble,PHI,21,980000,2
Riley Thompson,PHI,23,1025000,1
Alex Ciernik,PHI,21,975000,3
Hunter McDonald,PHI,23,950000,1
David Jiricek,PHI,22,918333,1
Spencer Gill,PHI,19,890000,3
Oliver Bonk,PHI,21,886667,3
Christian Kyrou,PHI,22,878333,1
Artem Guryev,PHI,22,860000,1
Ty Murchison,PHI,23,860000,2
Jackson Edward,PHI,22,831667,2
Helge Grans,PHI,23,787500,2
Adam Ginning,PHI,26,787500,1
Maxence Guenette,PHI,24,775000,1
Aleksei Kolosov,PHI,24,925000,1
Carson Bjarnason,PHI,20,850000,3
Jack Berglund,PHI,19,,
Ryan MacPherson,PHI,21,,
Owen McLaughlin,PHI,23,,
Austin Moline,PHI,20,,
Ilya Pautov,PHI,19,,
Heikki Ruohonen,PHI,19,,
Santeri Sulku,PHI,21,,
Matej Tomek,PHI,28,,
Egor Zavragin,PHI,20,,
Jack Nesbitt,PHI,19,,
Carter Amico,PHI,19,,
Jack Murtagh,PHI,18,,
Shane Vansaghi,PHI,19,,
Matthew Gard,PHI,19,,
Max Westergård,PHI,18,,
Luke Vlooswyk,PHI,19,,
Nathan Quinn,PHI,18,,
Sidney Crosby,PIT,38,8700000,2
Evgeni Malkin,PIT,39,6100000,1
Bryan Rust,PIT,33,5125000,3
Rickard Rakell,PIT,32,5000000,3
Kevin Hayes,PIT,33,3571429,1
Tommy Novak,PIT,28,3500000,2
Anthony Mantha,PIT,31,2500000,1
Yegor Chinakhov,PIT,25,2100000,1
Noel Acciari,PIT,34,2000000,1
Blake Lizotte,PIT,28,1850000,1
Justin Brazeau,PIT,28,1500000,2
Elmer Soderblom,PIT,24,1125000,2
Connor Dewar,PIT,26,1100000,1
Benjamin Kindel,PIT,18,975000,3
Avery Hayes,PIT,23,830000,2
